Nama Produk ,Produksi,Ukuran/Berat,Satuan,Kalori Total (kkal),% AKG_Kalori,Gula Total (gr),Konversi Gula Per Sendok Makan,% Rekomendasi,Karbohidrat Total (gr),% AKG_Karbohidrat,Lemak Total (gr),% AKG_Lemak,Lemak Jenuh (gr),% AKG_Lemak Jenuh,Protein,% AKG_Protein,Garam (mg),% AKG_Garam,Kode Barcode,Link Gambar Barcode,Link Gambar Produk
Tora Cafe Iced Milky Latte,PT. TIRTA FRESINDO JAYA,180,ml,90,"4,186046512",9,"0,72",18,14,4,"3,5",5,"3,5",17,1,1,290,20,8 996001 600610,,
Tora Cafe Iced Cappuccino,PT. TIRTA FRESINDO JAYA,180,ml,110,"5,11627907",14,"1,12",28,19,8,"3,5",5,3,16,1,2,150,10,8 996001 600641,,
Del Monte Boba Milktea Red Velvet,PT Lasallefood Indonesia,240,ml,160,"7,441860465",23,"1,84",46,27,8,"3,5",5,3,16,5,8,170,11,8 998888 121943,,
Del Monte Boba Milktea Taro,PT Lasallefood Indonesia,240,ml,150,"6,976744186",24,"1,92",48,31,9,3,4,"2,5",13,1,2,105,7,8 998888 121646,,
Del Monte Boba Milktea Caramel Cheese,PT Lasallefood Indonesia,240,ml,140,"6,511627907",22,"1,76",44,27,8,3,4,"2,5",13,1,2,160,11,8 998888 121745,,
Nescafe Caramel Macchiato,PT. Nestle Indonesia,220,ml,110,"5,11627907",16,"1,28",32,20,6,3,4,3,15,3,4,115,8,9 556001 288561,,
Nescafe Cappuccino,PT. Nestle Indonesia,220,ml,120,"5,581395349",14,"1,12",28,20,6,4,6,"3,5",19,2,3,130,9,9 556001 288547,,
Nescafe Latte,PT. Nestle Indonesia,220,ml,120,"5,581395349",16,"1,28",32,19,6,3,5,"3,5",17,2,4,115,8,9 556001 288592,,
Nescafe Ice Black,PT. Nestle Indonesia,220,ml,60,"2,790697674",12,"0,96",24,14,4,0,0,0,0,0,0,70,5,9 556001 295248,,
Nescafe Gula Aren,PT. Nestle Indonesia,220,ml,130,"6,046511628",17,"1,36",34,24,7,3,4,3,15,3,4,135,9,9 556001 298379,,
Nescafe Oat Latte,PT. Nestle Indonesia,220,ml,140,"6,511627907",9,"0,72",18,23,7,5,8,"4,5",22,1,1,190,13,8 992696 525764,,
Nescafe Cafe Latte,PT. Nestle Indonesia,220,ml,140,"6,511627907",22,"1,76",44,22,7,4,6,3,15,4,6,110,7,9 556001 025272,,
Nescafe Cafe Original,PT. Nestle Indonesia,220,ml,120,"5,581395349",17,"1,36",34,20,6,"3,5",5,"2,5",11,3,6,105,7,9 556001 047175,,
Teh Pucuk Harum,PT. TIRTA FRESINDO JAYA,350,ml,"102,08","4,747906977","26,25","2,1","52,5","26,25","7,29",0,0,0,0,0,0,"14,58","1,46",8 996001 600146,,
Teh Pucuk Harum,PT. TIRTA FRESINDO JAYA,500,ml,"145,83","6,782790698","37,5",3,75,"37,5","10,42",0,0,0,0,0,0,"20,83","2,08",8 996001 600207,,
Teh Pucuk Harum,PT. TIRTA FRESINDO JAYA,250,ml,70,"3,255813953",18,"1,44",36,18,5,0,0,0,0,0,0,10,1,8 996001 600504,,
Teh Kotak Rasa Apel,PT. Ultrajaya Milk Industry & Trading Co,300,ml,150,"6,976744186",30,"2,4",60,36,"10,5",0,0,0,0,0,0,75,"4,5",8 998009 040306,,
Teh Kotak Rasa Blackcurrant,PT. Ultrajaya Milk Industry & Trading Co,300,ml,150,"6,976744186","31,5","2,52",63,36,"10,5",0,0,0,0,0,0,75,"4,5",8 998009 040290,,
Teh Kotak Rasa Lemon,PT. Ultrajaya Milk Industry & Trading Co,300,ml,150,"6,976744186",30,"2,4",60,"34,5","10,5",0,0,0,0,0,0,"37,5",3,8 998009 040313,,
Teh Kotak Rasa Leci,PT. Ultrajaya Milk Industry & Trading Co,300,ml,150,"6,976744186",33,"2,64",66,"26,5",12,0,0,0,0,0,0,"67,5","4,5",8 998009 040375,,
